,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
6150,3324294.0,725,stanley avenue,11207,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3043550001.0,-73.881873,40.660238,305.0,42.0,111000.0,bk0503
6151,3324609.0,1414,bergen street,11213,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3013520001.0,-73.938042,40.675428,308.0,36.0,34300.0,bk0802
6152,3324614.0,1191,park place,11213,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3013520080.0,-73.938102,40.672777,308.0,36.0,34300.0,bk0802
6153,3324616.0,1008,saint marks avenue,11213,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3013520080.0,-73.938469,40.67458,308.0,36.0,34300.0,bk0802
6154,3324663.0,249,thomas boyland street,11233,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3014340001.0,-73.913754,40.675797,316.0,41.0,36501.0,bk1601
6155,3324696.0,309,macdougal street,11233,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3015290001.0,-73.908289,40.680596,316.0,37.0,36900.0,bk1601
6156,3324730.0,10,lewis ave,11206,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3015800001.0,-73.93809,40.698045,303.0,36.0,28502.0,bk0302
6157,3324970.0,953,de kalb avenue,11221,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3015970001.0,-73.937427,40.692986,303.0,36.0,28100.0,bk0302
6158,3325168.0,311,patchen avenue,11233,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3016880001.0,-73.925559,40.680567,303.0,41.0,38100.0,bk0302
6159,3325172.0,329,patchen avenue,11233,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3016880001.0,-73.925409,40.679787,303.0,41.0,38100.0,bk0302
6160,3325686.0,250,wilson avenue,11237,brooklyn,not active,0.0,other,2021.0,0,0,0,2021.0,0,0.0,3032860001.0,-73.92047,40.697707,304.0,37.0,41900.0,bk0402
6161,3325882.0,18,boerum street,11206,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3030767501.0,-73.948954,40.705321,301.0,34.0,49100.0,bk0104
6162,3325906.0,111,bridge street,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3000680001.0,-73.984784,40.701003,302.0,35.0,2300.0,bk0202
6163,3325909.0,224,york  street,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3000710001.0,-73.981949,40.701313,302.0,35.0,2300.0,bk0202
6164,3325912.0,225,adams street,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3000860011.0,-73.988705,40.697007,302.0,33.0,1300.0,bk0202
6165,3325914.0,195,adams street,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3000860011.0,-73.988636,40.698196,302.0,33.0,1300.0,bk0202
